Weapon
攻撃	プレイヤーの攻撃力を上げる。
速射強化	ライトボウガンの速射を強化する。
ファーストショット	ボウガンの装填速度が上がる。最大まで装填している時に発射した弾の威力が上昇する。
フォースショット	ボウガンに装填された弾、または弓に装填されたビンの４発目以降の会心率、４発目と６発目の攻撃力が上昇する。
特殊射撃強化	ボウガンの特殊弾と弓の竜の一矢、竜の千々矢、導ノ矢の威力が上がる。
毒ビン追加	弓装備中、毒ビンの装填を可能にする。
麻痺ビン追加	弓装備中、麻痺ビンの装填を可能にする。
睡眠ビン追加	弓装備中、睡眠ビンの装填を可能にする。
爆破ビン追加	弓装備中、爆破ビンの装填を可能にする。
減気ビン追加	弓装備中、減気ビンの装填を可能にする。
集中	溜め攻撃の溜まる速度が速くなり、太刀、双剣、銃槍、剣斧、盾斧、弓、ボウガンのゲージが溜まりやすくなる。
強化持続	太刀、双剣、剣斧、盾斧、操虫棍で発生する、強化状態の持続時間を長くする。
抜刀術【力】	武器出し攻撃に気絶を誘発する力が追加・強化され、攻撃力も少し上がる。（騎乗中は発動しません）
ＫＯ術	モンスターを気絶状態にしやすくなる。
スタミナ奪取	特定の攻撃が持つ、モンスターを疲れさせる効果が上がる。
砲術	ガンランスの砲撃、竜撃砲、盾斧のビン攻撃、徹甲榴弾など、爆発を伴う攻撃の威力が上昇する。
高速変形	スラッシュアックスとチャージアックスの変形アクションの速度と火力が上昇する。
笛吹き名人	狩猟笛の旋律効果の持続時間が長くなる。（武器変更をすると、このスキルの効果は失われます）
溜打強化	ハンマーの溜め攻撃がヒットした際、気絶を誘発する力が強化される。
飛燕	ジャンプ攻撃が強化される。
毒ダメージ強化	モンスターに与える毒の効果時間を高める。
ガード性能	ガード時にのけぞりにくくなり、消費スタミナも軽減される。
ガード強化	通常はガードできない攻撃も、ガードできるようになる。
砲弾装填	砲弾の装填がスムーズになりガンランスの装填数が上昇、盾斧のビン装填数が増える。
砥石使用高速化	砥石の使用時間が短くなる。
Equip
逆恨み	体力ゲージに赤い部分がある間、攻撃力が上がる。
巧撃	回避時、タイミングよくモンスターの攻撃が重なると、一定時間攻撃力が上がる。
フルチャージ	体力が最大の時に攻撃力が上がる。
逆襲	ふきとばされた後は、一定時間攻撃力が上がる。
弱点特効	モンスターを攻撃した際、その部位に攻撃がかなり有効であれば、会心率が上がる。
渾身	スタミナゲージが満タンの状態をしばらく維持していると、会心率が上がる。
属性変換	属性攻撃を受けると発動し、一定時間、龍属性に関する効果を得る。（効果終了の後、一定時間は発動しなくなります）
防御	プレイヤーの防御力を上げる。レベルが上がると耐性値にも影響がある。
精霊の加護	プレイヤーが受けるダメージを一定確率で減少させる。
火耐性	プレイヤーの火耐性を上げる。レベルが上がると防御力にも影響がある。
水耐性	プレイヤーの水耐性を上げる。レベルが上がると防御力にも影響がある。
雷耐性	プレイヤーの雷耐性を上げる。レベルが上がると防御力にも影響がある。
氷耐性	プレイヤーの氷耐性を上げる。レベルが上がると防御力にも影響がある。
龍耐性	プレイヤーの龍耐性を上げる。レベルが上がると防御力にも影響がある。
毒耐性	毒状態の時に受けるダメージを減らす。
麻痺耐性	麻痺状態の時間を短くする。
睡眠耐性	睡眠状態の時間を短くする。
防御力ＤＯＷＮ耐性	防御力DOWNに対する耐性を持つ。
属性やられ耐性	全ての属性やられ状態に対する耐性を得る。
気絶耐性	気絶状態の時間を短くする。
裂傷耐性	裂傷状態に対する耐性を持つ。
拘束耐性	糸拘束状態と凍結状態に対する耐性を得る。
爆破やられ耐性	爆破やられに対する耐性を持つ。
悪臭耐性	悪臭状態に対する耐性を持つ。
環境適応	暑さや寒さ、ダメージを受ける地形に対する耐性を得る。
体力回復量ＵＰ	体力回復がおこなわれたときに回復量が上がる。
回復速度	ダメージを受けた際の赤ゲージ部分の回復速度が上がる。
環境利用の知識	任意発動できる環境利用時に、体力が追加で回復できるようになる。
体術	回避などの固定でスタミナを消費する行動のスタミナ消費量が軽減される。
スタミナ急速回復	スタミナの回復速度が速くなる。
ランナー	ダッシュなどの徐々にスタミナを消費する行動のスタミナ消費量が減少する。
腹減り耐性	時間経過による、スタミナゲージの最大値の減少を抑える。
挑戦者	戦闘中の大型モンスターが怒ると、攻撃力と会心率が上昇する。
力の解放	特定の条件を満たすと、一定時間会心率が上昇し、スタミナを固定で消費する行動の消費量が軽減される。
火事場力	体力が最大値の３５％以下の時に攻撃力と防御力が上がる。
連撃	攻撃を当て続けることで、段階的に攻撃力、属性値が上がる。（上昇効果は武器種ごとに異なる）
攻勢	毒、麻痺状態の大型モンスターに対して攻撃力と会心率が上がる。
鎖刃刺撃	傷をつけやすくなる。攻撃でダメージを蓄積させると、追加で無属性ダメージが発生する。
オトモへの采配	オトモの攻撃力と防御力が強化される。
破壊王	大型モンスターの部位を破壊しやすくなり、集中弱点攻撃で傷口を破壊した時のダメージが上昇する。
災禍転福	状態異常や属性やられを解除すると一定時間属性値、状態異常値が上がる。
急襲	大型モンスターへの奇襲攻撃が成功すると一定時間、攻撃が上昇する。
無我の境地	狂竜ウイルスに感染した時、狂竜症を克服しやすくなり、克服状態の会心率が増加する。
属性吸収	属性攻撃を受けると発動し、一定時間、属性に関する効果を得る。（効果終了の後、一定時間は発動しなくなります）
研鑽	クエスト時間の経過に応じて攻撃力と防御力が上昇する。（３０分経過時に上昇値が最大となる）
回避性能	回避時の無敵時間が長くなる。
回避距離ＵＰ	回避時の移動距離が長くなる。
耳栓	大型モンスターの咆哮に対する耐性を持つ。
納刀術	武器をしまう速度が速くなる。
風圧耐性	風圧に対する耐性を持つ。
耐震	地面振動に対する耐性を持つ。
ひるみ軽減	小ダメージ時のリアクションを軽減する。
威嚇	小型モンスターに発見されても戦闘になりにくくなる。（甲虫種など、一部のモンスターには効果がない）
早食い	肉やアイテムを食べる速度が速くなる。
水場・油泥適応	水場や油泥での行動制限や、水の流れによる行動制限に対する耐性を持つ。
緩衝	同行する仲間に攻撃を当てた際、または仲間からの攻撃が当たった際それぞれのダメージリアクションを無効化する。
飛び込み	大型モンスターに向かってジャンプ回避ができるようになる。また、飛距離も延びる。
ジャンプ鉄人	ジャンプ中に攻撃を受けても、のけぞらなくなる。
クライマー	ツタにつかまり中の行動で消費するスタミナ量が減る。
広域化	一部のアイテムの効果が一定範囲内の仲間にも作用する。レベルが上がると範囲と作用する効果が大きくなる。
整備	特殊装具が再び使用時間になるまでの時間を短縮する。
ボマー	爆弾系アイテムのダメージが上がる。
キノコ大好き	普段は食べられないキノコが食べられるようになり、有効な効果を得られるようになる。
アイテム使用強化	一部のアイテムの効果時間が長くなる。
満足感	食べたり飲んだりするアイテムが一定の確率で、もう一度使える。
閃光強化	発生させた閃光が効きやすくなる。
植生学	薬草など、消費アイテムの取得数が増える。
地質学	採取ポイントでのアイテム取得数が増える。
昆虫標本の達人	昆虫型の小型モンスターを攻撃で討伐した時、必ずはぎ取れる状態で残るようになる。
ハンター生活	釣り、肉焼き、運搬の技術が向上する。
Group
甲虫の知らせ	
3 → フィールドでハチミツを採取した時の取得数が増える
甲虫の擬態	
3 → しゃがみ移動速度が上昇し、大型モンスターに見つかりにくくなる
鱗張りの技法	
3 → モンスターに乗りやすくなり、乗り状態で成功しやすくなる
鱗重ねの工夫	
3 → 体力が４０％以下になった時、一定時間スタミナの消費量が減少する
革細工の柔性	
3 → 採集行動の速度が速くなり、採集・剥ぎ取り中に攻撃を受けてものけぞらなくなる
革細工の滑性	
3 → 地形を利用したスライディングを行うと、一定時間会心率が上がる
毛皮の昂揚	
3 → クエスト中、力尽きる度に攻撃力と防御力が上がる（最大２回まで）
毛皮の誘惑	
3 → 攻撃を当てた時、モンスターの注意をより強く引くようになる
ヌシの誇り	
3 → 旋律効果など、一定範囲内の仲間に作用する効果を発動した際、一時攻撃力上昇効果を追加で付与する
ヌシの憤激	
3 → 状態異常中、攻撃力が上昇する
護竜の脈動	
3 → 竜乳結晶の近くにいると、赤ゲージとスタミナの回復速度が上昇する。
護竜の守り	
3 → 竜都の跡形にいると、属性ダメージや特殊ダメージが軽減される。
先達の導き	
3 → 活性化している採取ポイントの発生確率が上がる
Series
闢獣の力	
2 → 鍔迫り合い、または相殺が成功した時、一定時間、基礎攻撃力＋１０
4 → 鍔迫り合い、または相殺が成功した時、一定時間、基礎攻撃力＋２５
火竜の力	
2 → 攻撃を当てた時、確率で追加の火属性ダメージを与える
4 → 追加で与える火属性ダメージが上昇する
暗器蛸の力	
2 → こんがり肉などのアイテムを食べた時、一定時間、基礎攻撃力＋１５
4 → こんがり肉などのアイテムを食べた時、一定時間、基礎攻撃力＋２５
鎧竜の守護	
2 → 体力が最大の時、受けるダメージを５％軽減する
4 → 体力が最大の時、受けるダメージを１０％軽減する
雪獅子の闘志	
2 → ジェスチャー「雄叫び」をした時、一定時間、周囲の攻撃力が少し上昇。オトモとサポートハンターには効果が大きい。
4 → ジェスチャー「雄叫び」をした時、一定時間、周囲の攻撃力が上昇。オトモとサポートハンターには効果が大きい。
兇爪竜の力	
2 → 「連撃」スキルの効果発動時、有効時間を延長し、基礎攻撃力＋３
4 → 「連撃」スキルの効果発動時、有効時間をさらに延長し、基礎攻撃力＋１０
雷顎竜の闘志	
2 → 追加のスタミナゲージを得る
4 → 長い追加のスタミナゲージを得る
波衣竜の守護	
2 → 特殊装具を使用した時、一定時間防御力が上昇する
4 → 特殊装具を使用した時、一定時間防御力と耐性値が大きく上昇する
煌雷竜の力	
2 → 「力の解放」のスキル発動時間を少し延長する
4 → 「力の解放」のスキル発動時間を延長する
獄焔蛸の反逆	
2 → 「逆恨み」スキル発動中、追加で少しダメージを与える
4 → 「逆恨み」スキル発動中、追加でダメージを与える
凍峰竜の反逆	
2 → 糸拘束状態、凍結状態の回復時、または拘束攻撃から解放された時、鍔迫り合いの後、一定時間、攻撃力が上昇
4 → 糸拘束状態、凍結状態の回復時、または拘束攻撃から解放された時、鍔迫り合いの後、一定時間、攻撃力が大きく上昇
黒蝕竜の力	
2 → 大型モンスターと対峙した時、狂竜症に感染する。
4 → 大型モンスターと対峙した時、狂竜症に感染し、攻撃力が上昇する。克服時、さらに攻撃力が上昇する。
鎖刃竜の飢餓	
2 → 継続してモンスターに攻撃を当てると、体力が少し回復する（武器種により回復量は変動）
4 → 継続してモンスターに攻撃を当てると、体力が回復する（武器種により回復量は変動）
護鎖刃竜の命脈	
2 → 大型モンスターの傷口を破壊した時、体力が少し回復する
4 → 大型モンスターの傷口を破壊した時、体力が回復する
